id,name,thumbnail,added,likeCount,collectCount,commentCount,description,instruction,tags,fileCount,downloadCount,viewCount,remixCount,makeCount,rootCommentCount,bigCategory,smallCategory,comments
3524233,Orca 2 Part (Elite Dangerous),https://cdn.thingiverse.com/renders/00/20/38/40/95/3add7f1ea78be7dc4f0c09e9cc0b88a4_display_large.jpeg,2019-03-31,128,284,0,"Orca model from Elite: Dangerous

Model is split into two parts at the widest point and down the centre to permit better printing

Point the two halves vertically at the seam

This work is strictly fanart and not meant for commercial distribution. All respected trade marks are property of Frontier Developments

To make it the same scale as my Anaconda (1000:1) = 130.4mm long

Per request I added the non-split version as well",,"['elite', 'elitedangerous', 'elite_dangerous', 'orca', 'spaceship']",3,1491,1708,,1,0,Models,vehicles,
2982469,spit-gun ,https://cdn.thingiverse.com/renders/ef/63/38/78/71/8fd858e63a7eb8c41c92f1705bbb4398_display_large.jpg,2018-06-29,22,46,6,"Not so much a remix as an addition, this here is a spit-gun for mounting on gunnarUK's crawler.

Use supports that are easy to remove because it's a bugger to clean up.",,['wargaming'],2,440,799,1,0,1,Models,vehicles,"It's up, hope it works out =)I'm on it
I work for a public school that has a game club, we could really use this print but we don't have a mirror function on our software.  Is there anyway someone could post the mirror image of so I can print a complete model. "
2962822,Ansaldo Carro Veloce CV33,https://cdn.thingiverse.com/renders/4b/4c/fe/df/62/84cee1b405eaca18a24a5786edfd6e9d_display_large.jpg,2018-06-15,22,36,0,"The original CV-33 had a crew of two men, who were protected by welded armor with a thickness of 12 mm and was armed with a 6.5 mm machine gun. From model CV-33 II, its armament was increased to two 8 mm machine guns. Several CV-33 were refitted in 1935 to meet the specifications of the CV-35. In 1938, the CV-33 was renamed ""L3 / 33, while the CV-35 was called ""L3 / 35.
It was used during the Spanish Civil War by Italian troops.

La CV-33 original tenía una tripulación de dos hombres, que iban protegidos por blindaje soldado con un espesor de 12 mm y estaba armada con una ametralladora de 6,5 mm. A partir del modelo CV-33 II, su armamento fue incrementado a dos ametralladoras de 8 mm. Varias CV-33 fueron reequipadas en 1935 para cumplir las especificaciones de la CV-35. En 1938, la CV-33 fue rebautizada como ""L3/33"", mientras que las CV-35 fueron llamadas ""L3/35. Fue utilizado durante la Guerra Civil española por las tropas italianas.",,[],1,614,969,0,0,0,Models,vehicles,
2865978,Commando Cody Rocketship,https://cdn.thingiverse.com/renders/9c/0e/00/b1/88/054c5b5a57cbcf29b2a8aec940e23321_display_large.JPG,2018-05-12,22,17,0,Commando Cody - Sky Marshal of the Universe Rocketship from the 1950's TV series!,,"['movie_prop', 'rocketship', 'scifi']",2,340,321,0,0,0,Models,vehicles,
2867021,UFO,https://cdn.thingiverse.com/renders/72/54/a2/5b/66/8e82e4f6871d64c20605b3aada13f19a_display_large.jpg,2018-04-17,22,19,0,UFO,,[],2,342,381,0,0,0,Models,vehicles,
3034647,Gancho_Respaldo_Asiento_Auto,https://cdn.thingiverse.com/renders/dd/b8/ad/ba/6d/3b3417b660dbdda3f1a3d8f795c35be5_display_large.jpg,2018-08-04,22,40,0,Gancho para colocar bolsas en respaldo de asiento de un auto. ,,"['asiento_auto', 'automobile', 'bag', 'car', 'hook', 'respaldo_asiento', 'seatback']",1,507,455,0,0,0,Models,vehicles,
2896545,celica logo for light,https://cdn.thingiverse.com/renders/df/ab/41/0d/2e/fd26484f6660fa76278eb6b1696ea9d4_display_large.jpg,2018-05-06,22,35,0,logo  for toyota  celica  can be leds inside   best print transparent material and last slices in black,,"['celica', 'led_strip', 'toyota_celica']",1,457,684,0,0,0,Models,vehicles,
4176259,Homeworld - Hiigaran Destroyer (1:1000 Scale),https://cdn.thingiverse.com/assets/e8/92/df/79/4d/large_display_assembled.jpg,2020-02-22,22,26,1,"This is a work in progress since some of the exterior details are actually separated from the hull by .05mm and might print weirdly due to this.

Hiigaran Destroyer ripped straight from the game files and scaled to print at 44.5cm long (1:1000 scale to the in-game length of the destroyer, 445m)

The Guns included are also from the game files and scaled the same, more or less.

I have left them as separate files as for my version I drilled holes where the guns would mount and placed 6mmx2xx neodymium magnets there, allowing for them to turn freely.

I personally split this into two parts using Microsoft's 3D Builder to fit my Ender 3 Pro, and I will be uploading the two part version here when I have time.",,"['hiigaran', 'homeworld', 'homeworld_2', 'homeworld_remastered']",2,390,388,0,0,0,Models,vehicles,
2622533,Bottle Ship,https://cdn.thingiverse.com/renders/38/b1/28/f1/c1/a77a0c4bc3e12a4f3f601afca788b5cb_display_large.JPG,2017-11-02,22,12,2,"This is a ship in a bottle. 
To print you need Inkjet a high resolution printer with transparent resin.
This is printed with Keyence Agilista 3200.

Inside of the bottle is a cavity and the printer fill this automatically with totally different support material.
",,[],1,323,1268,0,0,1,Models,vehicles," Interesting, but won't the ship cure clear to match the bottle eventually? I mean, it is essentially a cavity of uncured resin is it not?"
4684185,Heavy fighter,https://cdn.thingiverse.com/assets/4f/bd/76/ca/36/large_display_eagle.jpg,2020-12-13,22,44,0,Heavy fighter,,"['6mm', 'wargaming']",1,294,24,0,0,0,Models,vehicles,
